N PtMilieu Trapeze Simpson
2 0.221441469079183051 0.429203673205103220 0.004559754984420739
3 0.094395102393195707 0.186200635765782163 0.000863189673536269
4 0.052344305954061809 0.103881102062960196 0.000269169948387660
5 0.033281476926104059 0.066234401907194762 0.000109517315004304
6 0.023030319854925096 0.045902766686293450 0.000052624341185581
7 0.016884175944257063 0.033683321234107666 0.000028343551468968
8 0.012909085599127845 0.025768398054449193 0.000016591047935499
9 0.010190115950420076 0.020349188783516547 0.000010347705774461
10 0.008248407907974542 0.016476462490545352 0.000006784441800800
11 0.006813453956883819 0.013613013418342534 0.000004631498474961
12 0.005723015023581191 0.011436223415684177 0.000003268877160068
13 0.004874971180309551 0.009742824652225979 0.000002372569464892
14 0.004202431576278975 0.008399572644925302 0.000001763502544438
15 0.003660091156539647 0.007316168469230666 0.000001337947949320
16 0.003216378167949951 0.006429656227660674 0.000001033369413150
17 0.002848743958904443 0.005695055690535522 0.000000810742424751
18 0.002540735666239691 0.005079536416547681 0.000000644971977160
19 0.002280120072909675 0.004558681679805332 0.000000519488671191
20 0.002057648285416658 0.004114027291285405 0.000000423093182711
21 0.001866222714317356 0.003731401260537170 0.000000348056032440
22 0.001700323277600280 0.003399779730729469 0.000000288941490734
23 0.001555604558963086 0.003110483533234287 0.000000241861563666
24 0.001428608086317062 0.002856604196051382 0.000000203992193804
25 0.001316553606892423 0.002632587454369784 0.000000173253138946
26 0.001217185506363627 0.002433926735958547 0.000000148092256236
27 0.001128658327260723 0.002256934641458042 0.000000127337688394
28 0.001049450409667418 0.002098570534323274 0.000000110095004224
29 0.000978298026641955 0.001956309029445435 0.000000095674613121
30 0.000914144637961467 0.001828038656345843 0.000000083539859030
31 0.000856101422102906 0.001711983035828091 0.000000073269458944
32 0.000803416309930416 0.001606639029855250 0.000000064530001787
33 0.000755449489622251 0.001510727812397805 0.000000057055615343
34 0.000711653882063956 0.001423155865815318 0.000000050632770865
35 0.000671559466518978 0.001342983666547282 0.000000045088830447
36 0.000634760612582053 0.001269400375154328 0.000000040283336666
37 0.000600905777020877 0.001201703250028441 0.000000036101337475
38 0.000569689074062740 0.001139280803448495 0.000000032448226772
39 0.000540843339661201 0.001081598942136441 0.000000029245728062
40 0.000514134394606014 0.001028189502934262 0.000000026428759181
41 0.000489356275368724 0.000978640721919222 0.000000023942939187
42 0.000466327250506549 0.000932589273110462 0.000000021742634804
43 0.000444886478132567 0.000889713588127394 0.000000019789379024
44 0.000424891189216847 0.000849728226564261 0.000000018050622774
45 0.000406214304236929 0.000812379112349992 0.000000016498709066
46 0.000388742408646170 0.000777439487135823 0.000000015110051876
47 0.000372374026689215 0.000744706459963940 0.000000013864470905
48 0.000357018144387045 0.000713998054867382 0.000000012744635125
49 0.000342592941390052 0.000685150675937551 0.000000011735613814
50 0.000329024698625169 0.000658016923738236 0.000000010824504404
51 0.000316246854428215 0.000632463708487796 0.000000010000124284
52 0.000304199186522691 0.000608370614797238 0.000000009252749233
53 0.000292827101038284 0.000585628480345157 0.000000008573910915
54 0.000282081012849211 0.000564138157098215 0.000000007956200143
55 0.000271915804076706 0.000543809428760200 0.000000007393131884
56 0.000262290349670291 0.000524560062327817 0.000000006879003589
57 0.000253167100757068 0.000506314975109667 0.000000006408802378
58 0.000244511717845786 0.000489005501401740 0.000000005978096240
59 0.000236292747178624 0.000472568745436996 0.000000005582974083
60 0.000228481334540565 0.000456947009191966 0.000000005219963573
61 0.000221050971633385 0.000442087285318360 0.000000004885983174
62 0.000213977270868693 0.000427940806862814 0.000000004578291080
63 0.000207237764975776 0.000414462646618707 0.000000004294444800
64 0.000200811728366723 0.000401611359962528 0.000000004032257639
65 0.000194680017590709 0.000389348665847278 0.000000003789778269
66 0.000188824928575748 0.000377639161387888 0.000000003565254758
67 0.000183230068688367 0.000366450066030533 0.000000003357114586
68 0.000177880241855277 0.000355750991875681 0.000000003163945550
69 0.000172761345266448 0.000345513737118219 0.000000002984471781
70 0.000167860276325094 0.000335712100014041 0.000000002817545308
71 0.000163164848713926 0.000326321711042743 0.000000002662127851
72 0.000158663716564256 0.000317319881285361 0.000000002517280162
73 0.000154346305846875 0.000308685465236325 0.000000002382152253
74 0.000150202752208006 0.000300398736503782 0.000000002255970966
75 0.000146223844571747 0.000292441275042687 0.000000002138034194
76 0.000142400973903278 0.000284795864691878 0.000000002027704671
77 0.000138726086592822 0.000277446399981951 0.000000001924401971
78 0.000135191642008259 0.000270377801237620 0.000000001827593188
79 0.000131790573777657 0.000263575937164084 0.000000001736796484
80 0.000128516254437105 0.000257027554164235 0.000000001651569548
81 0.000125362463121892 0.000250720211722344 0.000000001571507813
82 0.000122323355993714 0.000244642223275582 0.000000001496237800
83 0.000119393439148574 0.000238782602033805 0.000000001425420670
84 0.000116567543768209 0.000233131011301735 0.000000001358745561
85 0.000113840803308562 0.000227677718851016 0.000000001295921592
86 0.000111208632532556 0.000222413554997747 0.000000001236688529
87 0.000108666708216187 0.000217329874027561 0.000000001180801235
88 0.000106210951390739 0.000212418518673374 0.000000001128034999
89 0.000103837510964322 0.000207671787373132 0.000000001078184653
90 0.000101542748613515 0.000203082404056643 0.000000001031056129
91 0.000099323224834968 0.000198643490239903 0.000000000986476678
92 0.000097175686042839 0.000194348539244382 0.000000000944279765
93 0.000095097052641879 0.000190191392339001 0.000000000904316177
94 0.000093084407983834 0.000186166216637140 0.000000000866442917
95 0.000091134988119190 0.000182267484641452 0.000000000830532976
96 0.000089246172314983 0.000178489955239725 0.000000000796463784
97 0.000087415474234742 0.000174828656097192 0.000000000764123431
98 0.000085640533750819 0.000171278867273639 0.000000000733408445
99 0.000083919109335362 0.000167836106007568 0.000000000704222014
100 0.000082249070985529 0.000164496112555756 0.000000000676471767
101 0.000080628393620330 0.000161254837014457 0.000000000650076437
102 0.000079055150946861 0.000158108427029902 0.000000000624954755
103 0.000077527509728448 0.000155053216348788 0.000000000601035222
104 0.000076043724442698 0.000152085714137051 0.000000000578249448
105 0.000074602132299262 0.000149202594997622 0.000000000556533930
106 0.000073201148568014 0.000146400689653214 0.000000000535826494
107 0.000071839262229645 0.000143676976233964 0.000000000516074294
108 0.000070515031900253 0.000141028572124835 0.000000000497224484
109 0.000069227082006407 0.000138452726332172 0.000000000479226880
110 0.000067974099225321 0.000135946812340748 0.000000000462037075
111 0.000066754829126214 0.000133508321419118 0.000000000445610659
112 0.000065568073024824 0.000131134856329762 0.000000000429908997
113 0.000064412685052861 0.000128824125435356 0.000000000414889900
114 0.000063287569372239 0.000126573937176522 0.000000000400523170
115 0.000062191677587808 0.000124382194859329 0.000000000386772836
116 0.000061124006299540 0.000122246891777866 0.000000000373606923
117 0.000060083594803473 0.000120166106617026 0.000000000360996122
118 0.000059069522935218 0.000118137999129519 0.000000000348913787
119 0.000058080909029368 0.000116160806061139 0.000000000337332384
120 0.000057116908005028 0.000114232837325590 0.000000000326227934
121 0.000056176709557487 0.000112352472384281 0.000000000315575566
122 0.000055259536454244 0.000110518156841710 0.000000000305357073
123 0.000054364642937177 0.000108728399235591 0.000000000295545366
124 0.000053491313188658 0.000106981767997505 0.000000000286127566
125 0.000052638859915799 0.000105276888593853 0.000000000277079693
126 0.000051806622993311 0.000103612440822021 0.000000000268387534
127 0.000050993968175650 0.000101987156248651 0.000000000260034216
128 0.000050200285902413 0.000100399815797347 0.000000000252002419
129 0.000049424990148150 0.000098849247459176 0.000000000244278819
